,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029
Online,16.5,17.4,24.7,26,29.3,31.2,34,35.4,36.2,36.6,36.7,36.6
Offline,83.5,82.6,75.3,74,70.7,68.8,66,64.6,63.8,63.4,63.3,63.4
