,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029
Offline,99.3,99.3,99,99,99.1,99.1,99.2,99.3,99.4,99.4,99.5,99.6
Online,0.7,0.7,1,1,0.9,0.9,0.8,0.7,0.6,0.6,0.5,0.4
