,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029
Online,27.5,30.5,47.4,60.1,54.7,58.3,63.5,68.1,72.4,75.4,76.7,78.1
Offline,72.5,69.5,52.6,39.9,45.3,41.7,36.5,31.9,27.6,24.6,23.3,21.9
