,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029
Total,989.73,"1,038.43",935.1,"1,040.72","1,020.16",942.77,"1,119.31","1,139.7","1,159.89","1,179.88","1,199.67","1,219.26"
Prestige Face Cosmetics,405.51,429.03,354.73,419.26,424.7,392.48,465.08,474.92,484.65,494.29,503.83,513.28
Prestige Eyes Cosmetics,195.32,201.2,261.66,260.77,206.06,190.43,236.92,241.74,246.52,251.25,255.93,260.57
Prestige Lips Cosmetics,388.9,408.2,318.71,360.68,389.39,359.85,417.31,423.04,428.72,434.34,439.91,445.42
