,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029
Offline,87.9,87,79.7,74.8,79.3,78,79.7,78.1,76.2,74.9,74.1,73.9
Online,12.1,13,20.3,25.2,20.7,22,20.3,21.9,23.8,25.1,25.9,26.1
