,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029
Online,22.4,24.6,23,32.6,36.5,38.8,33.3,35.8,38.6,40.6,41.5,41.6
Offline,77.6,75.4,77,67.4,63.5,61.2,66.7,64.2,61.4,59.4,58.5,58.4
