,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029
Offline,88.4,87.7,81.8,78.3,81,79.8,81.8,80.5,79,77.9,77.4,77.4
Online,11.6,12.3,18.2,21.7,19,20.2,18.2,19.5,21,22.1,22.6,22.6
