,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029
Online,41.9,41.7,25.3,35.6,49.6,65,56.4,63,70.8,78,83.5,87.2
Offline,58.1,58.3,74.7,64.4,50.4,35,43.6,37,29.2,22,16.5,12.8
