,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029
Offline,86.3,86.3,82.9,80.3,82.5,76.9,80.9,79.1,77,75.2,73.9,73.3
Online,13.7,13.7,17.1,19.7,17.5,23.1,19.1,20.9,23,24.8,26.1,26.7
