,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029
Total,"1,443.76","1,619.16","1,537.24","1,618.2","1,728.25","1,355.8","1,820.29","1,880.17","1,939.45","1,998.14","2,056.24","2,113.77"
Prestige Face Cosmetics,810.21,901.58,849.4,910.76,963.82,756.1,"1,021.35","1,055.23","1,088.77","1,121.97","1,154.85","1,187.39"
Prestige Eyes Cosmetics,80.91,90.07,175.64,154.58,104.33,81.84,105.21,105.66,106.11,106.55,106.99,107.42
Prestige Lips Cosmetics,552.64,627.51,512.19,552.86,660.11,517.85,693.73,719.28,744.58,769.62,794.41,818.96
