,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029
Offline,98.2,98.2,97.4,97.7,98.1,97.9,97.9,97.8,97.7,97.6,97.4,97.4
Online,1.8,1.8,2.6,2.3,1.9,2.1,2.1,2.2,2.3,2.4,2.6,2.6
