,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029
Offline,93.8,92.7,89.6,86.6,86,83.5,80.7,78,76.4,75,73.6,72.3
Online,6.2,7.3,10.4,13.4,14,16.5,19.3,22,23.6,25,26.4,27.7
