,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029
Offline,84.8,83.3,68.5,64.3,70.5,64.4,59.1,54.2,51.6,49.4,46.9,44.8
Online,15.2,16.7,31.5,35.7,29.5,35.6,40.9,45.8,48.4,50.6,53.1,55.2
