,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029
Online,9.9,11.3,10.9,14.7,20.3,24.4,27.6,31.9,34.7,37.3,40.1,42.6
Offline,90.1,88.7,89.1,85.3,79.7,75.6,72.4,68.1,65.3,62.7,59.9,57.4
