,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029
Offline,84,83,77.6,77.1,78.1,81.1,79.3,77.6,75.6,73.6,72,71.2
Online,16,17,22.4,22.9,21.9,18.9,20.7,22.4,24.4,26.4,28,28.8
