,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029
Offline,80,80.4,71.6,67.6,74.5,66.2,71.8,69.3,66.4,63.8,62.1,61.3
Online,20,19.6,28.4,32.4,25.5,33.8,28.2,30.7,33.6,36.2,37.9,38.7
