,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029
Total,3.76,3.94,3.45,3.73,4.16,4.24,4.45,4.61,4.77,4.93,5.09,5.25
Prestige Eyes Cosmetics,0.81,0.82,1.01,0.96,0.83,0.84,0.89,0.9,0.91,0.93,0.94,0.95
Prestige Face Cosmetics,2.06,2.18,1.86,2.1,2.38,2.42,2.54,2.64,2.75,2.86,2.96,3.06
Prestige Lips Cosmetics,0.89,0.94,0.59,0.67,0.96,0.97,1.02,1.06,1.1,1.15,1.19,1.24
