,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029
Total,2.28,2.83,2.68,2.96,3.55,3.61,4.58,4.92,5.26,5.6,5.93,6.26
Prestige Face Cosmetics,0.63,0.79,0.72,0.85,1.03,1.04,1.31,1.41,1.51,1.61,1.71,1.8
Prestige Eyes Cosmetics,0.54,0.66,0.9,0.93,0.88,0.9,1.19,1.28,1.38,1.47,1.56,1.64
Prestige Lips Cosmetics,1.12,1.38,1.05,1.18,1.64,1.67,2.08,2.23,2.38,2.52,2.67,2.81
