,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029
Online,16.4,15.6,13.9,15.7,16.5,15.1,13.2,14.5,14.7,14.9,15.1,15.2
Offline,83.6,84.4,86.1,84.3,83.5,84.9,86.8,85.5,85.3,85.1,84.9,84.8
