,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029
Offline,92.1,92.5,88.1,87.7,91.1,91.9,92.4,91.7,91.5,91.3,91.2,91.1
Online,7.9,7.5,11.9,12.3,8.9,8.1,7.6,8.3,8.5,8.7,8.8,8.9
