,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029
Offline,86.1,86.8,82.7,83,85.8,87,87.9,86.8,86.6,86.4,86.2,86.2
Online,13.9,13.2,17.3,17,14.2,13,12.1,13.2,13.4,13.6,13.8,13.8
