,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029
Offline,84.4,84.2,74.8,76.3,81.2,79.8,80,78.6,76.8,75,73.6,72.5
Online,15.6,15.8,25.2,23.7,18.8,20.2,20,21.4,23.2,25,26.4,27.5
