,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029
Total,810.79,856.08,732.97,900.32,936.16,870.47,981.3,"1,007.7","1,033.84","1,059.72","1,085.34","1,110.7"
Prestige Face Cosmetics,412.48,437.97,352.53,453,484.49,450.5,505.11,519.78,534.31,548.69,562.92,577.02
Prestige Eyes Cosmetics,71.47,75.14,126.22,130.86,91.34,84.94,110.25,114.84,119.39,123.89,128.35,132.76
Prestige Lips Cosmetics,326.84,342.97,254.22,316.46,360.32,335.04,365.94,373.08,380.14,387.14,394.07,400.92
