,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029
Online,37,37.6,26.4,29.8,38.5,41.5,34.4,36.1,38.3,40.5,42.2,43.1
Offline,63,62.4,73.6,70.2,61.5,58.5,65.6,63.9,61.7,59.5,57.8,56.9
